ds,y
2021-04-26 10:00:00,53284.61
2021-04-26 11:00:00,54034.75
2021-04-26 12:00:00,54245.87
2021-04-26 13:00:00,54036.19
2021-04-26 14:00:00,53180.0
2021-04-26 15:00:00,53363.54
2021-04-26 16:00:00,53582.45
2021-04-26 17:00:00,54001.39
2021-04-26 18:00:00,53657.36
2021-04-26 19:00:00,53772.23
2021-04-26 20:00:00,53812.01
2021-04-26 21:00:00,53460.3
2021-04-26 22:00:00,53456.85
2021-04-26 23:00:00,53918.3
2021-04-27 00:00:00,54700.34
2021-04-27 01:00:00,54545.01
2021-04-27 02:00:00,54430.17
2021-04-27 03:00:00,54487.04
2021-04-27 04:00:00,54683.34
2021-04-27 05:00:00,55152.43
2021-04-27 06:00:00,54838.53
2021-04-27 07:00:00,54726.35
2021-04-27 08:00:00,54953.92
2021-04-27 09:00:00,54981.87
2021-04-27 10:00:00,54663.28
2021-04-27 11:00:00,54875.62
2021-04-27 12:00:00,54960.01
2021-04-27 13:00:00,54761.7
2021-04-27 14:00:00,55133.88
2021-04-27 15:00:00,55275.29
2021-04-27 16:00:00,54944.72
2021-04-27 17:00:00,55011.97
2021-04-27 18:00:00,55384.61
2021-04-27 19:00:00,55471.2
2021-04-27 20:00:00,55189.99
2021-04-27 21:00:00,54774.05
2021-04-27 22:00:00,54820.54
2021-04-27 23:00:00,54594.5
2021-04-28 00:00:00,54144.18
2021-04-28 01:00:00,54255.98
2021-04-28 02:00:00,54063.23
2021-04-28 03:00:00,54215.31
2021-04-28 04:00:00,54413.56
2021-04-28 05:00:00,54853.26
2021-04-28 06:00:00,55175.25
2021-04-28 07:00:00,54780.0
2021-04-28 08:00:00,54489.22
2021-04-28 09:00:00,54338.14
2021-04-28 10:00:00,54704.76
2021-04-28 11:00:00,54838.72
2021-04-28 12:00:00,54933.76
2021-04-28 13:00:00,55411.97
2021-04-28 14:00:00,54369.08
2021-04-28 15:00:00,54801.34
2021-04-28 16:00:00,54466.72
2021-04-28 17:00:00,54846.22
2021-04-28 18:00:00,54720.07
2021-04-28 19:00:00,54567.68
2021-04-28 20:00:00,54575.94
2021-04-28 21:00:00,54265.1
2021-04-28 22:00:00,53564.94
2021-04-28 23:00:00,53896.92
2021-04-29 00:00:00,54372.84
2021-04-29 01:00:00,54465.14
2021-04-29 02:00:00,53929.29
2021-04-29 03:00:00,54541.01
2021-04-29 04:00:00,54428.04
2021-04-29 05:00:00,54300.16
2021-04-29 06:00:00,54330.01
2021-04-29 07:00:00,53606.03
2021-04-29 08:00:00,53682.26
2021-04-29 09:00:00,53703.11
2021-04-29 10:00:00,52972.0
2021-04-29 11:00:00,52742.95
2021-04-29 12:00:00,52928.54
2021-04-29 13:00:00,52860.02
2021-04-29 14:00:00,52981.71
2021-04-29 15:00:00,53329.2
2021-04-29 16:00:00,53387.35
2021-04-29 17:00:00,53555.0
2021-04-29 18:00:00,53386.46
2021-04-29 19:00:00,53395.09
2021-04-29 20:00:00,53520.42
2021-04-29 21:00:00,53679.03
2021-04-29 22:00:00,54124.35
2021-04-29 23:00:00,54266.56
2021-04-30 00:00:00,54415.0
2021-04-30 01:00:00,54343.11
2021-04-30 02:00:00,54526.61
2021-04-30 03:00:00,54318.08
2021-04-30 04:00:00,54164.67
2021-04-30 05:00:00,54230.63
2021-04-30 06:00:00,54655.81
2021-04-30 07:00:00,55989.31
2021-04-30 08:00:00,55952.19
2021-04-30 09:00:00,57180.06
2021-04-30 10:00:00,56707.28
2021-04-30 11:00:00,56546.79
2021-04-30 12:00:00,56857.47
2021-04-30 13:00:00,57007.38
2021-04-30 14:00:00,56757.34
2021-04-30 15:00:00,56976.53
2021-04-30 16:00:00,57119.75
2021-04-30 17:00:00,57694.27
2021-04-30 18:00:00,57811.42
2021-04-30 19:00:00,58450.0
2021-04-30 20:00:00,58100.0
2021-04-30 21:00:00,58178.67
2021-04-30 22:00:00,58052.37
2021-04-30 23:00:00,58134.44
2021-05-01 00:00:00,57894.91
2021-05-01 01:00:00,57725.14
2021-05-01 02:00:00,57450.63
2021-05-01 03:00:00,57492.99
2021-05-01 04:00:00,57384.0
2021-05-01 05:00:00,57816.9
2021-05-01 06:00:00,57764.15
2021-05-01 07:00:00,57611.0
2021-05-01 08:00:00,57430.78
2021-05-01 09:00:00,57356.58
2021-05-01 10:00:00,57495.59
2021-05-01 11:00:00,57569.99
2021-05-01 12:00:00,57610.52
2021-05-01 13:00:00,57770.31
2021-05-01 14:00:00,57679.99
2021-05-01 15:00:00,57451.58
2021-05-01 16:00:00,57657.75
2021-05-01 17:00:00,57800.37
2021-05-01 18:00:00,57442.25
2021-05-01 19:00:00,57415.6
2021-05-01 20:00:00,57650.0
2021-05-01 21:00:00,56450.19
2021-05-01 22:00:00,56905.68
2021-05-01 23:00:00,56902.07
2021-05-02 00:00:00,56879.99
2021-05-02 01:00:00,56633.02
2021-05-02 02:00:00,56525.23
2021-05-02 03:00:00,56450.0
2021-05-02 04:00:00,56831.67
2021-05-02 05:00:00,57090.0
2021-05-02 06:00:00,56839.66
2021-05-02 07:00:00,56679.85
2021-05-02 08:00:00,56823.52
2021-05-02 09:00:00,56595.2
2021-05-02 10:00:00,56557.8
2021-05-02 11:00:00,56779.99
2021-05-02 12:00:00,56840.45
2021-05-02 13:00:00,56836.4
2021-05-02 14:00:00,56994.0
2021-05-02 15:00:00,56649.99
2021-05-02 16:00:00,56382.1
2021-05-02 17:00:00,56578.21
2021-05-02 18:00:00,57407.86
2021-05-02 19:00:00,58042.82
2021-05-02 20:00:00,58060.48
2021-05-02 21:00:00,57925.8
2021-05-02 22:00:00,57820.64
2021-05-02 23:00:00,57938.86
2021-05-03 00:00:00,57945.55
2021-05-03 01:00:00,58787.87
2021-05-03 02:00:00,58764.07
2021-05-03 03:00:00,58409.73
2021-05-03 04:00:00,58467.42
